"","dateannounced","numberofcases"
"1","01/04/2020",424
"2","02/02/2020",1
"3","02/03/2020",2
"4","02/04/2020",486
"5","03/02/2020",1
"6","03/03/2020",1
"7","03/04/2020",560
"8","04/03/2020",22
"9","04/04/2020",579
"10","05/03/2020",2
"11","05/04/2020",605
"12","06/03/2020",1
"13","06/04/2020",489
"14","07/03/2020",3
"15","07/04/2020",573
"16","08/03/2020",5
"17","08/04/2020",565
"18","09/03/2020",9
"19","09/04/2020",813
"20","10/03/2020",15
"21","10/04/2020",871
"22","11/03/2020",8
"23","11/04/2020",854
"24","12/03/2020",10
"25","13/03/2020",10
"26","14/03/2020",11
"27","15/03/2020",10
"28","16/03/2020",14
"29","17/03/2020",20
"30","18/03/2020",25
"31","19/03/2020",27
"32","20/03/2020",58
"33","21/03/2020",78
"34","22/03/2020",69
"35","23/03/2020",94
"36","24/03/2020",74
"37","25/03/2020",86
"38","26/03/2020",73
"39","27/03/2020",153
"40","28/03/2020",136
"41","29/03/2020",120
"42","30/01/2020",1
"43","30/03/2020",187
"44","31/03/2020",309
