"","detectedstate","dateannounced","numberofcases"
"1","","06/04/2020",1
"2","","07/04/2020",1
"3","Andaman and Nicobar Islands","08/04/2020",1
"4","Andaman and Nicobar Islands","17/04/2020",1
"5","Andaman and Nicobar Islands","26/03/2020",1
"6","Andaman and Nicobar Islands","27/03/2020",5
"7","Andaman and Nicobar Islands","28/03/2020",3
"8","Andaman and Nicobar Islands","30/03/2020",1
"9","Andhra Pradesh","01/04/2020",67
"10","Andhra Pradesh","02/04/2020",38
"11","Andhra Pradesh","03/04/2020",15
"12","Andhra Pradesh","04/04/2020",28
"13","Andhra Pradesh","05/04/2020",64
"14","Andhra Pradesh","06/04/2020",47
"15","Andhra Pradesh","07/04/2020",11
"16","Andhra Pradesh","08/04/2020",34
"17","Andhra Pradesh","09/04/2020",15
"18","Andhra Pradesh","10/04/2020",18
"19","Andhra Pradesh","11/04/2020",24
"20","Andhra Pradesh","12/03/2020",1
"21","Andhra Pradesh","12/04/2020",15
"22","Andhra Pradesh","13/04/2020",19
"23","Andhra Pradesh","14/04/2020",45
"24","Andhra Pradesh","15/04/2020",41
"25","Andhra Pradesh","16/04/2020",9
"26","Andhra Pradesh","17/04/2020",38
"27","Andhra Pradesh","18/04/2020",31
"28","Andhra Pradesh","19/03/2020",2
"29","Andhra Pradesh","21/03/2020",2
"30","Andhra Pradesh","22/03/2020",1
"31","Andhra Pradesh","23/03/2020",1
"32","Andhra Pradesh","24/03/2020",1
"33","Andhra Pradesh","25/03/2020",2
"34","Andhra Pradesh","26/03/2020",1
"35","Andhra Pradesh","27/03/2020",2
"36","Andhra Pradesh","28/03/2020",6
"37","Andhra Pradesh","29/03/2020",2
"38","Andhra Pradesh","30/03/2020",2
"39","Andhra Pradesh","31/03/2020",21
"40","Arunachal Pradesh","02/04/2020",1
"41","Assam","01/04/2020",15
"42","Assam","03/04/2020",7
"43","Assam","04/04/2020",3
"44","Assam","07/04/2020",2
"45","Assam","09/04/2020",1
"46","Assam","13/04/2020",2
"47","Assam","14/04/2020",1
"48","Assam","16/04/2020",2
"49","Assam","31/03/2020",1
"50","Bihar","01/04/2020",3
"51","Bihar","02/04/2020",5
"52","Bihar","03/04/2020",2
"53","Bihar","04/04/2020",1
"54","Bihar","07/04/2020",6
"55","Bihar","08/04/2020",1
"56","Bihar","09/04/2020",19
"57","Bihar","10/04/2020",2
"58","Bihar","11/04/2020",4
"59","Bihar","13/04/2020",2
"60","Bihar","15/04/2020",6
"61","Bihar","16/04/2020",11
"62","Bihar","17/04/2020",2
"63","Bihar","22/03/2020",2
"64","Bihar","23/03/2020",1
"65","Bihar","25/03/2020",1
"66","Bihar","26/03/2020",3
"67","Bihar","27/03/2020",2
"68","Bihar","28/03/2020",2
"69","Bihar","29/03/2020",4
"70","Bihar","31/03/2020",6
"71","Chandigarh","01/04/2020",2
"72","Chandigarh","02/04/2020",1
"73","Chandigarh","10/04/2020",1
"74","Chandigarh","12/04/2020",2
"75","Chandigarh","19/03/2020",1
"76","Chandigarh","20/03/2020",4
"77","Chandigarh","22/03/2020",1
"78","Chandigarh","23/03/2020",1
"79","Chandigarh","27/03/2020",1
"80","Chandigarh","30/03/2020",5
"81","Chandigarh","31/03/2020",2
"82","Chhattisgarh","04/04/2020",1
"83","Chhattisgarh","09/04/2020",8
"84","Chhattisgarh","11/04/2020",7
"85","Chhattisgarh","12/04/2020",6
"86","Chhattisgarh","14/04/2020",2
"87","Chhattisgarh","16/04/2020",3
"88","Chhattisgarh","19/03/2020",1
"89","Chhattisgarh","25/03/2020",2
"90","Chhattisgarh","26/03/2020",3
"91","Chhattisgarh","28/03/2020",1
"92","Chhattisgarh","30/03/2020",1
"93","Chhattisgarh","31/03/2020",1
"94","Delhi","01/04/2020",32
"95","Delhi","02/03/2020",1
"96","Delhi","02/04/2020",141
"97","Delhi","03/04/2020",93
"98","Delhi","04/04/2020",59
"99","Delhi","05/03/2020",1
"100","Delhi","05/04/2020",58
"101","Delhi","06/03/2020",1
"102","Delhi","06/04/2020",22
"103","Delhi","07/04/2020",51
"104","Delhi","08/04/2020",93
"105","Delhi","09/03/2020",1
"106","Delhi","09/04/2020",51
"107","Delhi","10/04/2020",183
"108","Delhi","11/03/2020",1
"109","Delhi","11/04/2020",166
"110","Delhi","12/03/2020",1
"111","Delhi","12/04/2020",85
"112","Delhi","13/03/2020",1
"113","Delhi","13/04/2020",356
"114","Delhi","14/04/2020",51
"115","Delhi","15/04/2020",17
"116","Delhi","16/04/2020",62
"117","Delhi","17/03/2020",3
"118","Delhi","17/04/2020",67
"119","Delhi","18/03/2020",1
"120","Delhi","19/03/2020",3
"121","Delhi","20/03/2020",6
"122","Delhi","21/03/2020",7
"123","Delhi","22/03/2020",1
"124","Delhi","23/03/2020",2
"125","Delhi","25/03/2020",5
"126","Delhi","26/03/2020",4
"127","Delhi","27/03/2020",1
"128","Delhi","28/03/2020",9
"129","Delhi","29/03/2020",23
"130","Delhi","30/03/2020",25
"131","Delhi","31/03/2020",23
"132","Goa","03/04/2020",1
"133","Goa","04/04/2020",1
"134","Goa","25/03/2020",3
"135","Goa","29/03/2020",2
"136","Gujarat","01/04/2020",13
"137","Gujarat","02/04/2020",1
"138","Gujarat","03/04/2020",7
"139","Gujarat","04/04/2020",13
"140","Gujarat","05/04/2020",20
"141","Gujarat","06/04/2020",18
"142","Gujarat","07/04/2020",29
"143","Gujarat","08/04/2020",11
"144","Gujarat","09/04/2020",76
"145","Gujarat","10/04/2020",116
"146","Gujarat","11/04/2020",90
"147","Gujarat","12/04/2020",48
"148","Gujarat","13/04/2020",56
"149","Gujarat","14/04/2020",78
"150","Gujarat","15/04/2020",116
"151","Gujarat","16/04/2020",163
"152","Gujarat","17/04/2020",170
"153","Gujarat","18/04/2020",173
"154","Gujarat","19/03/2020",2
"155","Gujarat","20/03/2020",5
"156","Gujarat","21/03/2020",7
"157","Gujarat","22/03/2020",4
"158","Gujarat","23/03/2020",12
"159","Gujarat","24/03/2020",6
"160","Gujarat","25/03/2020",2
"161","Gujarat","26/03/2020",6
"162","Gujarat","27/03/2020",3
"163","Gujarat","28/03/2020",8
"164","Gujarat","29/03/2020",8
"165","Gujarat","30/03/2020",7
"166","Gujarat","31/03/2020",4
"167","Haryana","02/04/2020",6
"168","Haryana","03/04/2020",9
"169","Haryana","04/03/2020",14
"170","Haryana","04/04/2020",26
"171","Haryana","05/04/2020",6
"172","Haryana","06/04/2020",20
"173","Haryana","07/04/2020",33
"174","Haryana","08/04/2020",24
"175","Haryana","09/04/2020",3
"176","Haryana","10/04/2020",6
"177","Haryana","11/04/2020",3
"178","Haryana","12/04/2020",16
"179","Haryana","13/04/2020",1
"180","Haryana","14/04/2020",2
"181","Haryana","15/04/2020",6
"182","Haryana","16/04/2020",11
"183","Haryana","17/03/2020",1
"184","Haryana","17/04/2020",8
"185","Haryana","18/03/2020",2
"186","Haryana","20/03/2020",2
"187","Haryana","21/03/2020",2
"188","Haryana","23/03/2020",7
"189","Haryana","24/03/2020",2
"190","Haryana","25/03/2020",1
"191","Haryana","26/03/2020",1
"192","Haryana","27/03/2020",1
"193","Haryana","28/03/2020",2
"194","Haryana","30/03/2020",1
"195","Haryana","31/03/2020",7
"196","Himachal Pradesh","02/04/2020",3
"197","Himachal Pradesh","04/04/2020",7
"198","Himachal Pradesh","05/04/2020",1
"199","Himachal Pradesh","06/04/2020",4
"200","Himachal Pradesh","07/04/2020",9
"201","Himachal Pradesh","09/04/2020",1
"202","Himachal Pradesh","11/04/2020",4
"203","Himachal Pradesh","14/04/2020",1
"204","Himachal Pradesh","15/04/2020",2
"205","Himachal Pradesh","17/04/2020",3
"206","Himachal Pradesh","20/03/2020",2
"207","Himachal Pradesh","23/03/2020",1
"208","Jammu and Kashmir","01/04/2020",7
"209","Jammu and Kashmir","02/04/2020",8
"210","Jammu and Kashmir","03/04/2020",5
"211","Jammu and Kashmir","04/04/2020",17
"212","Jammu and Kashmir","05/04/2020",14
"213","Jammu and Kashmir","06/04/2020",3
"214","Jammu and Kashmir","07/04/2020",16
"215","Jammu and Kashmir","08/04/2020",33
"216","Jammu and Kashmir","09/03/2020",1
"217","Jammu and Kashmir","09/04/2020",26
"218","Jammu and Kashmir","10/04/2020",23
"219","Jammu and Kashmir","11/04/2020",17
"220","Jammu and Kashmir","12/04/2020",21
"221","Jammu and Kashmir","13/03/2020",1
"222","Jammu and Kashmir","13/04/2020",25
"223","Jammu and Kashmir","14/04/2020",8
"224","Jammu and Kashmir","15/04/2020",22
"225","Jammu and Kashmir","16/03/2020",1
"226","Jammu and Kashmir","16/04/2020",14
"227","Jammu and Kashmir","17/04/2020",14
"228","Jammu and Kashmir","18/03/2020",1
"229","Jammu and Kashmir","24/03/2020",2
"230","Jammu and Kashmir","25/03/2020",5
"231","Jammu and Kashmir","26/03/2020",3
"232","Jammu and Kashmir","27/03/2020",6
"233","Jammu and Kashmir","28/03/2020",13
"234","Jammu and Kashmir","29/03/2020",5
"235","Jammu and Kashmir","30/03/2020",11
"236","Jammu and Kashmir","31/03/2020",6
"237","Jharkhand","02/04/2020",1
"238","Jharkhand","05/04/2020",1
"239","Jharkhand","06/04/2020",1
"240","Jharkhand","09/04/2020",9
"241","Jharkhand","10/04/2020",1
"242","Jharkhand","11/04/2020",3
"243","Jharkhand","12/04/2020",2
"244","Jharkhand","13/04/2020",5
"245","Jharkhand","14/04/2020",3
"246","Jharkhand","15/04/2020",1
"247","Jharkhand","16/04/2020",1
"248","Jharkhand","17/04/2020",3
"249","Jharkhand","31/03/2020",1
"250","Karnataka","01/04/2020",9
"251","Karnataka","02/04/2020",14
"252","Karnataka","03/04/2020",4
"253","Karnataka","04/04/2020",16
"254","Karnataka","05/04/2020",7
"255","Karnataka","06/04/2020",12
"256","Karnataka","07/04/2020",12
"257","Karnataka","08/04/2020",6
"258","Karnataka","09/03/2020",1
"259","Karnataka","09/04/2020",16
"260","Karnataka","10/03/2020",3
"261","Karnataka","10/04/2020",10
"262","Karnataka","11/04/2020",8
"263","Karnataka","12/03/2020",1
"264","Karnataka","12/04/2020",17
"265","Karnataka","13/03/2020",1
"266","Karnataka","13/04/2020",15
"267","Karnataka","14/04/2020",13
"268","Karnataka","15/04/2020",19
"269","Karnataka","16/03/2020",1
"270","Karnataka","16/04/2020",36
"271","Karnataka","17/03/2020",4
"272","Karnataka","17/04/2020",44
"273","Karnataka","18/03/2020",3
"274","Karnataka","19/03/2020",1
"275","Karnataka","21/03/2020",5
"276","Karnataka","22/03/2020",6
"277","Karnataka","23/03/2020",7
"278","Karnataka","24/03/2020",8
"279","Karnataka","25/03/2020",10
"280","Karnataka","26/03/2020",4
"281","Karnataka","27/03/2020",9
"282","Karnataka","28/03/2020",12
"283","Karnataka","29/03/2020",7
"284","Karnataka","30/03/2020",5
"285","Karnataka","31/03/2020",13
"286","Kerala","01/04/2020",24
"287","Kerala","02/02/2020",1
"288","Kerala","02/04/2020",21
"289","Kerala","03/02/2020",1
"290","Kerala","03/04/2020",9
"291","Kerala","04/04/2020",11
"292","Kerala","05/04/2020",8
"293","Kerala","06/04/2020",13
"294","Kerala","07/04/2020",8
"295","Kerala","08/03/2020",5
"296","Kerala","08/04/2020",9
"297","Kerala","09/03/2020",1
"298","Kerala","09/04/2020",12
"299","Kerala","10/03/2020",8
"300","Kerala","10/04/2020",7
"301","Kerala","11/04/2020",10
"302","Kerala","12/03/2020",2
"303","Kerala","12/04/2020",2
"304","Kerala","13/03/2020",3
"305","Kerala","13/04/2020",3
"306","Kerala","14/04/2020",8
"307","Kerala","15/03/2020",2
"308","Kerala","15/04/2020",1
"309","Kerala","16/03/2020",3
"310","Kerala","16/04/2020",7
"311","Kerala","17/04/2020",1
"312","Kerala","19/03/2020",1
"313","Kerala","20/03/2020",12
"314","Kerala","21/03/2020",12
"315","Kerala","22/03/2020",15
"316","Kerala","23/03/2020",28
"317","Kerala","24/03/2020",14
"318","Kerala","25/03/2020",9
"319","Kerala","26/03/2020",19
"320","Kerala","27/03/2020",39
"321","Kerala","28/03/2020",6
"322","Kerala","29/03/2020",20
"323","Kerala","30/01/2020",1
"324","Kerala","30/03/2020",32
"325","Kerala","31/03/2020",7
"326","Ladakh","03/04/2020",1
"327","Ladakh","07/03/2020",2
"328","Ladakh","10/04/2020",1
"329","Ladakh","11/03/2020",1
"330","Ladakh","13/04/2020",2
"331","Ladakh","15/04/2020",1
"332","Ladakh","17/03/2020",5
