"","detectedstate","01/04/2020","02/02/2020","02/03/2020","02/04/2020","03/02/2020","03/03/2020","03/04/2020","04/03/2020","04/04/2020","05/03/2020","05/04/2020","06/03/2020","06/04/2020","07/03/2020","07/04/2020","08/03/2020","08/04/2020","09/03/2020","09/04/2020","10/03/2020","10/04/2020","11/03/2020","11/04/2020","12/03/2020","12/04/2020","13/03/2020","13/04/2020","14/03/2020","14/04/2020","15/03/2020","15/04/2020","16/03/2020","16/04/2020","17/03/2020","17/04/2020","18/03/2020","18/04/2020","19/03/2020","19/04/2020","20/03/2020","20/04/2020","21/03/2020","22/03/2020","23/03/2020","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/01/2020","30/03/2020","31/03/2020"
"1","",,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Andaman and Nicobar Islands",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,1,,1,,,,,,1,5,3,,,1,
"3","Andhra Pradesh",67,,,38,,,15,,28,,64,,47,,11,,34,,15,,18,,24,1,15,,19,,45,,41,,9,,38,,31,2,44,,75,2,1,1,1,2,1,2,6,2,,2,21
"4","Arunachal Pradesh",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","Assam",15,,,,,,7,,3,,,,,,2,,,,1,,,,,,1,,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,1
"6","Bihar",3,,,5,,,2,,1,,,,,,6,,1,,19,,2,,4,,,,2,,,,6,,11,,2,,1,,10,,17,,2,1,,1,3,2,2,4,,,6
"7","Chandigarh",2,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,2,1,3,4,,,1,1,,,,1,,,,5,2
"8","Chhattisgarh",,,,,,,,,1,,,,,,,,,,8,,,,7,,6,,,,2,,,,3,,,,,1,,,,,,,,2,3,,1,,,1,1
"9","Delhi",32,,1,141,,,93,,59,1,58,1,22,,51,,93,1,51,,183,1,166,1,85,1,356,,51,,17,,62,3,67,1,186,3,110,6,78,7,1,2,,5,4,1,9,23,,25,23
"10","Goa",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,
