"","detectedstate","01/04/2020","02/02/2020","02/03/2020","02/04/2020","03/02/2020","03/03/2020","03/04/2020","04/03/2020","04/04/2020","05/03/2020","05/04/2020","06/03/2020","07/03/2020","08/03/2020","09/03/2020","10/03/2020","11/03/2020","12/03/2020","13/03/2020","14/03/2020","15/03/2020","16/03/2020","17/03/2020","18/03/2020","19/03/2020","20/03/2020","21/03/2020","22/03/2020","23/03/2020","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/01/2020","30/03/2020","31/03/2020"
"1","Andaman and Nicobar Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,,,1,
"2","Andhra Pradesh",67,,,38,,,15,,28,,34,,,,,,,1,,,,,,,2,,2,1,1,1,2,1,2,6,2,,2,21
"3","Arunachal Pradesh",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Assam",15,,,,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"5","Bihar",3,,,5,,,2,,1,,,,,,,,,,,,,,,,,,,2,1,,1,3,2,2,4,,,6
"6","Chandigarh",2,,,1,,,,,,,,,,,,,,,,,,,,,1,4,,1,1,,,,1,,,,5,2
"7","Chhattisgarh",,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2,3,,1,,,1,1
"8","Delhi",32,,1,141,,,93,,59,1,,1,,,1,,1,1,1,,,,3,1,3,6,7,1,2,,5,4,1,9,23,,25,23
"9","Goa",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,
"10","Gujarat",13,,,1,,,7,,13,,14,,,,,,,,,,,,,,2,5,7,4,12,6,2,6,3,8,8,,7,4
"11","Haryana",,,,6,,,9,14,26,,,,,,,,,,,,,,1,2,,2,2,,7,2,1,1,1,2,,,1,7
"12","Himachal Pradesh",,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,
"13","Jammu and Kashmir",7,,,8,,,5,,17,,,,,,1,,,,1,,,1,,1,,,,,,2,5,3,6,13,5,,11,6
"14","Jharkhand",,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"15","Karnataka",9,,,14,,,4,,16,,,,,,1,3,,2,,,,2,3,3,1,,5,6,7,8,10,4,9,17,2,,8,10
"16","Kerala",24,1,,21,1,,9,,11,,,,,5,1,8,,2,3,,2,3,,,1,12,12,15,28,14,9,19,39,6,20,1,32,7
"17","Ladakh",,,,,,,1,,,,,,2,,,,1,,,,,,5,,,2,3,,,,,,,,,,,
"18","Madhya Pradesh",32,,,9,,,47,,25,,,,,,,,,,,,,,,,,4,,2,,1,8,5,9,10,,,8,19
"19","Maharashtra",33,,,88,,,64,,148,,,,,,2,3,5,4,3,14,2,6,2,4,4,5,10,10,23,10,15,8,26,30,17,,35,64
"20","Manipur",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"21","Mizoram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"22","Odisha",1,,,,,,15,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1
"23","Puducherry",2,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"24","Punjab",4,,,1,,,6,,12,,,,,,1,,,,,,,,,,1,1,10,8,2,6,2,2,5,,,,3,1
"25","Rajasthan",27,,,13,,1,46,1,25,,6,,,,,1,,,,1,,,,3,2,8,7,5,3,,6,5,7,4,5,,20,14
"26","Tamil Nadu",110,,,75,,,102,,74,,,,1,,,,,,,,,,,1,1,,3,3,3,6,8,3,9,4,8,,17,57
"27","Telangana",30,,1,27,,,75,,43,,,,,,,,,,,1,1,1,1,8,3,3,2,6,6,6,2,4,14,8,3,,7,20
"28","Uttar Pradesh",13,,,11,,,46,7,60,1,,,,,2,,,2,1,,,,2,2,3,4,4,2,4,1,3,4,7,16,7,,24,8
"29","Uttarakhand",,,,3,,,6,,6,,,,,,,,,,,,1,,,,2,,,,1,,1,,,1,1,,,
"30","West Bengal",,,,16,,,,,,,,,,,,,,,,,,,1,,,1,2,3,,2,,1,5,3,3,,1,15
