"","detectedstate","01/04/2020","02/02/2020","02/03/2020","02/04/2020","03/02/2020","03/03/2020","03/04/2020","04/03/2020","04/04/2020","05/03/2020","05/04/2020","06/03/2020","06/04/2020","07/03/2020","07/04/2020","08/03/2020","08/04/2020","09/03/2020","09/04/2020","10/03/2020","10/04/2020","11/03/2020","12/03/2020","13/03/2020","14/03/2020","15/03/2020","16/03/2020","17/03/2020","18/03/2020","19/03/2020","20/03/2020","21/03/2020","22/03/2020","23/03/2020","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/01/2020","30/03/2020","31/03/2020"
"1","Andaman and Nicobar Islands",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,5,3,,,1,
"2","Andhra Pradesh",67,,,38,,,15,,28,,60,,51,,11,,34,,15,,2,,1,,,,,,,2,,2,1,1,1,2,1,2,6,2,,2,21
"3","Arunachal Pradesh",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Assam",15,,,,,,7,,3,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
"5","Bihar",3,,,5,,,2,,1,,,,,,6,,1,,19,,2,,,,,,,,,,,,2,1,,1,3,2,2,4,,,6
"6","Chandigarh",2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,1,1,,,,1,,,,5,2
"7","Chhattisgarh",,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,1,,,,,,2,3,,1,,,1,1
"8","Dadra and Nagar Haveli",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","Delhi",32,,1,141,,,93,,59,1,58,1,22,,51,,93,1,51,,,1,1,1,,,,3,1,3,6,7,1,2,,5,4,1,9,23,,25,23
"10","Goa",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,
"11","Gujarat",13,,,1,,,7,,13,,20,,18,,29,,11,,76,,46,,,,,,,,,2,5,7,4,12,6,2,6,3,8,8,,7,4
"12","Haryana",,,,6,,,9,14,26,,6,,20,,33,,24,,3,,5,,,,,,,1,2,,2,2,,7,2,1,1,1,2,,,1,7
"13","Himachal Pradesh",,,,3,,,,,7,,1,,4,,9,,,,1,,,,,,,,,,,,2,,,1,,,,,,,,,
"14","Jammu and Kashmir",7,,,8,,,5,,17,,14,,3,,16,,33,1,26,,23,,,1,,,1,,1,,,,,,2,5,3,6,13,5,,11,6
"15","Jharkhand",,,,1,,,,,,,1,,1,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,1
"16","Karnataka",9,,,14,,,4,,16,,7,,12,,12,,6,1,16,3,10,,2,,,,2,3,3,1,,5,6,7,8,10,4,9,17,2,,8,10
"17","Kerala",24,1,,21,1,,9,,11,,8,,13,,9,5,9,1,12,8,,,2,3,,2,3,,,1,12,12,15,28,14,9,19,39,6,20,1,32,7
"18","Ladakh",,,,,,,1,,,,,,,2,,,,,,,1,1,,,,,,5,,,2,3,,,,,,,,,,,
"19","Madhya Pradesh",32,,,9,,,47,,25,,14,,63,,34,,51,,70,,,,,,,,,,,,4,,2,,1,8,5,9,10,,,8,19
"20","Maharashtra",33,,,88,,,64,,148,,112,,121,,150,,117,2,229,3,,5,4,3,14,1,7,2,4,3,6,10,10,15,18,15,3,28,28,22,,17,82
"21","Manipur",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"22","Mizoram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"23","Odisha",1,,,,,,15,,1,,18,,1,,2,,,,6,,,,,,,,1,,,1,,,,,,,1,,,,,,1
"24","Puducherry",2,,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,
"25","Punjab",4,,,1,,,6,,12,,3,,11,,20,,7,1,24,,,,,,,,,,,1,1,10,8,2,6,2,2,5,,,,3,1
"26","Rajasthan",27,,,13,,1,46,1,27,,60,,35,,42,,40,,80,1,57,,,,1,,,,3,2,8,7,5,3,,6,5,7,4,5,,20,14
"27","Tamil Nadu",110,,,75,,,102,,74,,86,,50,1,69,,48,,96,,,,,,,,,,1,1,,3,3,3,6,8,3,9,4,8,,17,57
"28","Telangana",30,,1,27,,,75,,43,,62,,30,,40,,49,,18,,,,,,1,1,1,1,8,3,3,2,6,6,6,2,4,14,8,3,,7,20
"29","Tripura",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","Uttar Pradesh",13,,,11,,,46,7,60,1,44,,27,,27,,29,2,49,,21,,2,1,,,,2,2,3,4,4,2,4,1,3,4,7,16,7,,24,8
"31","Uttarakhand",,,,3,,,6,,6,,4,,5,,,,4,,,,,,,,,1,,,,2,,,,1,,1,,,1,1,,,
"32","West Bengal",,,,16,,,,,,,27,,,,11,,8,,4,,13,,,,,,,1,,,1,2,3,,2,,1,5,3,3,,1,15
